flightNumber,callSign,entryTime,speed_in,wtCat,route,nodeOri,tOri,nodeDest,tDest,travelTime,linkType,timeOnPMSRing
94,ADD1807,35320.53530199439,147.13111111111112,1,8 1 2 7 17 18 19,1,35479.48263477915,2,35782.35100113013,302.8683663509792,normal,0.0
94,ADD1807,35320.53530199439,147.13111111111112,1,8 1 2 7 17 18 19,2,35782.35100113013,7,36250.043877403674,467.69287627353776,pms,128.2508956903953
94,ADD1807,35320.53530199439,147.13111111111112,1,8 1 2 7 17 18 19,7,36250.043877403674,17,36320.00607962982,69.96220222614869,normal,0.0
94,ADD1807,35320.53530199439,147.13111111111112,1,8 1 2 7 17 18 19,17,36320.00607962982,18,36406.918072639666,86.9119930098435,normal,0.0
94,ADD1807,35320.53530199439,147.13111111111112,1,8 1 2 7 17 18 19,18,36406.918072639666,19,36498.03573126973,91.11765863006757,normal,0.0
95,HU7023_3420ec68.csv,28929.865498741732,193.94555555555556,2,10 6 4 5 0 7 17 18 19,10,28929.865498741732,6,29166.358410797548,236.4929120558143,normal,0.0
95,HU7023_3420ec68.csv,28929.865498741732,193.94555555555556,2,10 6 4 5 0 7 17 18 19,6,29166.358410797548,4,29327.286196465047,160.92778566749902,normal,0.0
95,HU7023_3420ec68.csv,28929.865498741732,193.94555555555556,2,10 6 4 5 0 7 17 18 19,4,29327.286196465047,5,29399.42915092018,72.14295445513355,normal,0.0
95,HU7023_3420ec68.csv,28929.865498741732,193.94555555555556,2,10 6 4 5 0 7 17 18 19,5,29399.42915092018,0,29444.837376913434,45.408225993255435,normal,0.0
95,HU7023_3420ec68.csv,28929.865498741732,193.94555555555556,2,10 6 4 5 0 7 17 18 19,0,29444.837376913434,7,29689.67604016789,244.83866325445672,pms,18.128287478586852
95,HU7023_3420ec68.csv,28929.865498741732,193.94555555555556,2,10 6 4 5 0 7 17 18 19,7,29689.67604016789,17,29742.750814270486,53.07477410259556,normal,0.0
95,HU7023_3420ec68.csv,28929.865498741732,193.94555555555556,2,10 6 4 5 0 7 17 18 19,17,29742.750814270486,18,29808.68405034692,65.933236076433,normal,0.0
95,HU7023_3420ec68.csv,28929.865498741732,193.94555555555556,2,10 6 4 5 0 7 17 18 19,18,29808.68405034692,19,29877.80779137663,69.12374102970644,normal,0.0
96,CA772_341ef9b7.csv,23967.828216391164,157.42000000000002,2,8 1 2 7 17 18 19,8,23967.828216391164,1,24069.65480847104,101.82659207987756,normal,0.0
96,CA772_341ef9b7.csv,23967.828216391164,157.42000000000002,2,8 1 2 7 17 18 19,1,24069.65480847104,2,24352.727856759866,283.0730482888237,normal,0.0
96,CA772_341ef9b7.csv,23967.828216391164,157.42000000000002,2,8 1 2 7 17 18 19,2,24352.727856759866,7,24850.380177409905,497.6523206500402,pms,180.39609043180903
96,CA772_341ef9b7.csv,23967.828216391164,157.42000000000002,2,8 1 2 7 17 18 19,7,24850.380177409905,17,24915.769686680094,65.38950927019125,normal,0.0
96,CA772_341ef9b7.csv,23967.828216391164,157.42000000000002,2,8 1 2 7 17 18 19,17,24915.769686680094,18,24997.001157270995,81.23147059089948,normal,0.0
96,CA772_341ef9b7.csv,23967.828216391164,157.42000000000002,2,8 1 2 7 17 18 19,18,24997.001157270995,19,25082.163413376224,85.16225610522655,normal,0.0
97,HU7025_3421d9f2.csv,64731.73007865081,210.4077777777778,2,10 6 4 5 0 7 17 18 19,10,64731.73007865081,6,64949.71987778295,217.98979913213196,normal,0.0
97,HU7025_3421d9f2.csv,64731.73007865081,210.4077777777778,2,10 6 4 5 0 7 17 18 19,6,64949.71987778295,4,65098.056736454455,148.33685867150888,normal,0.0
97,HU7025_3421d9f2.csv,64731.73007865081,210.4077777777778,2,10 6 4 5 0 7 17 18 19,4,65098.056736454455,5,65164.5552543752,66.49851792074656,normal,0.0
97,HU7025_3421d9f2.csv,64731.73007865081,210.4077777777778,2,10 6 4 5 0 7 17 18 19,5,65164.5552543752,0,65206.41075853035,41.85550415515232,normal,0.0
97,HU7025_3421d9f2.csv,64731.73007865081,210.4077777777778,2,10 6 4 5 0 7 17 18 19,0,65206.41075853035,7,65532.472323526614,326.06156499626195,pms,117.08892033244061
97,HU7025_3421d9f2.csv,64731.73007865081,210.4077777777778,2,10 6 4 5 0 7 17 18 19,7,65532.472323526614,17,65581.39454806616,48.9222245395563,normal,0.0
97,HU7025_3421d9f2.csv,64731.73007865081,210.4077777777778,2,10 6 4 5 0 7 17 18 19,17,65581.39454806616,18,65642.16919354493,60.77464547876587,normal,0.0
97,HU7025_3421d9f2.csv,64731.73007865081,210.4077777777778,2,10 6 4 5 0 7 17 18 19,18,65642.16919354493,19,65705.88472011755,63.71552657261448,normal,0.0
98,MU5341_3421979a.csv,58437.77692684939,171.31,2,12 13 14 20 21,12,58422.77692684939,13,58679.09575190557,256.3188250561771,normal,0.0
98,MU5341_3421979a.csv,58437.77692684939,171.31,2,12 13 14 20 21,13,58679.09575190557,14,58854.25525455517,175.1595026496059,normal,0.0
98,MU5341_3421979a.csv,58437.77692684939,171.31,2,12 13 14 20 21,14,58854.25525455517,20,58972.05446758332,117.7992130281517,normal,0.0
98,MU5341_3421979a.csv,58437.77692684939,171.31,2,12 13 14 20 21,20,58972.05446758332,21,59035.264956569365,63.210488986044176,normal,0.0
99,CI527_3421b40e.csv,61984.662930685154,183.65666666666667,1,12 13 14 20 21,12,61984.662930685154,13,62223.7502380905,239.08730740534165,normal,0.0
99,CI527_3421b40e.csv,61984.662930685154,183.65666666666667,1,12 13 14 20 21,13,62223.7502380905,14,62387.13431199055,163.38407390005256,normal,0.0
99,CI527_3421b40e.csv,61984.662930685154,183.65666666666667,1,12 13 14 20 21,14,62387.13431199055,20,62497.01425019328,109.87993820272973,normal,0.0
99,CI527_3421b40e.csv,61984.662930685154,183.65666666666667,1,12 13 14 20 21,20,62497.01425019328,21,62555.975294541604,58.961044348326915,normal,0.0
100,ZH9848_342202ab.csv,76719.6473572155,155.36222222222224,2,8 1 2 7 17 18 19,8,76709.6473572155,1,76812.8226458792,103.17528866371698,normal,0.0
100,ZH9848_342202ab.csv,76719.6473572155,155.36222222222224,2,8 1 2 7 17 18 19,1,76812.8226458792,2,77099.6450060659,286.8223601866889,normal,0.0
100,ZH9848_342202ab.csv,76719.6473572155,155.36222222222224,2,8 1 2 7 17 18 19,2,77099.6450060659,7,77452.82878309929,353.1837770334011,pms,31.725477540756298
100,ZH9848_342202ab.csv,76719.6473572155,155.36222222222224,2,8 1 2 7 17 18 19,7,77452.82878309929,17,77519.08437858499,66.25559548569048,normal,0.0
100,ZH9848_342202ab.csv,76719.6473572155,155.36222222222224,2,8 1 2 7 17 18 19,17,77519.08437858499,18,77601.39176269365,82.30738410865973,normal,0.0
100,ZH9848_342202ab.csv,76719.6473572155,155.36222222222224,2,8 1 2 7 17 18 19,18,77601.39176269365,19,77687.68199570093,86.29023300728252,normal,0.0
101,ZH9602_3421803a.csv,62950.28336535733,164.10777777777778,2,8 1 2 7 17 18 21,8,62950.28336535733,1,63047.960284405744,97.67691904840919,normal,0.0
101,ZH9602_3421803a.csv,62950.28336535733,164.10777777777778,2,8 1 2 7 17 18 21,1,63047.960284405744,2,63319.49744044455,271.537156038809,normal,0.0
101,ZH9602_3421803a.csv,62950.28336535733,164.10777777777778,2,8 1 2 7 17 18 21,2,63319.49744044455,7,63673.54800886743,354.0505684228783,pms,49.72327548626782
101,ZH9602_3421803a.csv,62950.28336535733,164.10777777777778,2,8 1 2 7 17 18 21,7,63673.54800886743,17,63736.272741897774,62.724733030340204,normal,0.0
101,ZH9602_3421803a.csv,62950.28336535733,164.10777777777778,2,8 1 2 7 17 18 21,17,63736.272741897774,18,63814.19383907901,77.921097181239,normal,0.0
101,ZH9602_3421803a.csv,62950.28336535733,164.10777777777778,2,8 1 2 7 17 18 21,18,63814.19383907901,21,63905.630729075165,91.43688999615705,normal,0.0
102,A67228_342220d0.csv_1,85805.00518625841,137.87111111111113,2,8 1 2 7 17 18 19,8,85805.00518625841,1,85921.26987721528,116.26469095687511,normal,0.0
102,A67228_342220d0.csv_1,85805.00518625841,137.87111111111113,2,8 1 2 7 17 18 19,1,85921.26987721528,2,86244.48014876894,323.2102715536569,normal,0.0
102,A67228_342220d0.csv_1,85805.00518625841,137.87111111111113,2,8 1 2 7 17 18 19,2,86244.48014876894,7,86655.4253216494,410.94517288045756,pms,48.70485031785034
102,A67228_342220d0.csv_1,85805.00518625841,137.87111111111113,2,8 1 2 7 17 18 19,7,86655.4253216494,17,86730.0864777564,74.66115610700942,normal,0.0
102,A67228_342220d0.csv_1,85805.00518625841,137.87111111111113,2,8 1 2 7 17 18 19,17,86730.0864777564,18,86822.83584343108,92.74936567468373,normal,0.0
102,A67228_342220d0.csv_1,85805.00518625841,137.87111111111113,2,8 1 2 7 17 18 19,18,86822.83584343108,19,86920.07334480496,97.23750137387806,normal,0.0
103,TV9917_34216e87.csv_1,53562.160719576226,163.59333333333333,1,9 3 4 5 0 7 17 18 19,9,53562.160719576226,3,53733.213517308635,171.05279773241008,normal,0.0
103,TV9917_34216e87.csv_1,53562.160719576226,163.59333333333333,1,9 3 4 5 0 7 17 18 19,3,53733.213517308635,4,53850.73016242027,117.51664511163118,normal,0.0
103,TV9917_34216e87.csv_1,53562.160719576226,163.59333333333333,1,9 3 4 5 0 7 17 18 19,4,53850.73016242027,5,53936.25813043783,85.52796801756399,normal,0.0
103,TV9917_34216e87.csv_1,53562.160719576226,163.59333333333333,1,9 3 4 5 0 7 17 18 19,5,53936.25813043783,0,53990.091153077636,53.83302263980283,normal,0.0
103,TV9917_34216e87.csv_1,53562.160719576226,163.59333333333333,1,9 3 4 5 0 7 17 18 19,0,53990.091153077636,7,54310.286745251295,320.1955921736577,pms,51.422599508554114
103,TV9917_34216e87.csv_1,53562.160719576226,163.59333333333333,1,9 3 4 5 0 7 17 18 19,7,54310.286745251295,17,54373.20872586978,62.92198061848593,normal,0.0
103,TV9917_34216e87.csv_1,53562.160719576226,163.59333333333333,1,9 3 4 5 0 7 17 18 19,17,54373.20872586978,18,54451.37485794781,78.16613207803535,normal,0.0
103,TV9917_34216e87.csv_1,53562.160719576226,163.59333333333333,1,9 3 4 5 0 7 17 18 19,18,54451.37485794781,19,54533.32344401133,81.94858606351988,normal,0.0
104,ZH9914_34217939.csv,56838.78030973276,151.76111111111112,2,12 13 14 20 21,12,56838.78030973276,13,57128.11647496567,289.336165232905,normal,0.0
