flightNumber,callSign,entryTime,speed_in,wtCat,route,nodeOri,tOri,nodeDest,tDest,travelTime,linkType,timeOnPMSRing
380,CZ3090_342180d7.csv,62191.7749616827,146.10222222222222,2,8 1 2 7 17 18 19,8,62356.7749616827,1,62466.489529205384,109.71456752268497,normal,0.0
380,CZ3090_342180d7.csv,62191.7749616827,146.10222222222222,2,8 1 2 7 17 18 19,1,62466.489529205384,2,62771.490771375735,305.0012421703523,normal,0.0
380,CZ3090_342180d7.csv,62191.7749616827,146.10222222222222,2,8 1 2 7 17 18 19,2,62771.490771375735,7,63247.18686346946,475.696092093724,pms,133.86367502760163
380,CZ3090_342180d7.csv,62191.7749616827,146.10222222222222,2,8 1 2 7 17 18 19,7,63247.18686346946,17,63317.641757260586,70.45489379112158,normal,0.0
380,CZ3090_342180d7.csv,62191.7749616827,146.10222222222222,2,8 1 2 7 17 18 19,17,63317.641757260586,18,63405.165806559235,87.52404929864522,normal,0.0
380,CZ3090_342180d7.csv,62191.7749616827,146.10222222222222,2,8 1 2 7 17 18 19,18,63405.165806559235,19,63496.92513884162,91.75933228239198,normal,0.0
381,ADD9269,18839.172710448824,196.00333333333336,1,11 6 4 5 0 7 17 18 19,11,18839.172710448824,6,18975.624572788303,136.45186233948118,normal,0.0
381,ADD9269,18839.172710448824,196.00333333333336,1,11 6 4 5 0 7 17 18 19,6,18975.624572788303,4,19134.862827897614,159.23825510931005,normal,0.0
381,ADD9269,18839.172710448824,196.00333333333336,1,11 6 4 5 0 7 17 18 19,4,19134.862827897614,5,19206.248376006763,71.38554810914789,normal,0.0
381,ADD9269,18839.172710448824,196.00333333333336,1,11 6 4 5 0 7 17 18 19,5,19206.248376006763,0,19251.179875217935,44.93149921117401,normal,0.0
381,ADD9269,18839.172710448824,196.00333333333336,1,11 6 4 5 0 7 17 18 19,0,19251.179875217935,7,19499.83929535478,248.65942013684764,pms,24.329205786446256
381,ADD9269,18839.172710448824,196.00333333333336,1,11 6 4 5 0 7 17 18 19,7,19499.83929535478,17,19552.356853981233,52.51755862645282,normal,0.0
381,ADD9269,18839.172710448824,196.00333333333336,1,11 6 4 5 0 7 17 18 19,17,19552.356853981233,18,19617.59787760542,65.24102362418698,normal,0.0
381,ADD9269,18839.172710448824,196.00333333333336,1,11 6 4 5 0 7 17 18 19,18,19617.59787760542,19,19685.995910067886,68.39803246246541,normal,0.0
382,HU7158_34217f28.csv_1,52982.340659729256,179.02666666666667,2,9 3 4 5 0 7 17 18 19,9,52797.340659729256,3,52953.64752662266,156.30686689340922,normal,0.0
382,HU7158_34217f28.csv_1,52982.340659729256,179.02666666666667,2,9 3 4 5 0 7 17 18 19,3,52953.64752662266,4,53061.03342646605,107.38589984338711,normal,0.0
382,HU7158_34217f28.csv_1,52982.340659729256,179.02666666666667,2,9 3 4 5 0 7 17 18 19,4,53061.03342646605,5,53139.188293792446,78.15486732639468,normal,0.0
382,HU7158_34217f28.csv_1,52982.340659729256,179.02666666666667,2,9 3 4 5 0 7 17 18 19,5,53139.188293792446,0,53188.380538618476,49.192244826026716,normal,0.0
382,HU7158_34217f28.csv_1,52982.340659729256,179.02666666666667,2,9 3 4 5 0 7 17 18 19,0,53188.380538618476,7,53474.075865351435,285.69532673295805,pms,40.0924196424324
382,HU7158_34217f28.csv_1,52982.340659729256,179.02666666666667,2,9 3 4 5 0 7 17 18 19,7,53474.075865351435,17,53531.57353729592,57.497671944478526,normal,0.0
382,HU7158_34217f28.csv_1,52982.340659729256,179.02666666666667,2,9 3 4 5 0 7 17 18 19,17,53531.57353729592,18,53603.001209712056,71.42767241613575,normal,0.0
382,HU7158_34217f28.csv_1,52982.340659729256,179.02666666666667,2,9 3 4 5 0 7 17 18 19,18,53603.001209712056,19,53677.88526249424,74.88405278218197,normal,0.0
383,ADD4558_1,57927.09631876653,138.38555555555556,1,11 6 4 5 0 7 17 18 19,11,57927.09631876653,6,58120.36085241465,193.26453364811277,normal,0.0
383,ADD4558_1,57927.09631876653,138.38555555555556,1,11 6 4 5 0 7 17 18 19,6,58120.36085241465,4,58345.8990501717,225.53819775705253,normal,0.0
383,ADD4558_1,57927.09631876653,138.38555555555556,1,11 6 4 5 0 7 17 18 19,4,58345.8990501717,5,58447.00646217759,101.10741200589348,normal,0.0
383,ADD4558_1,57927.09631876653,138.38555555555556,1,11 6 4 5 0 7 17 18 19,5,58447.00646217759,0,58510.645500093786,63.639037916198134,normal,0.0
383,ADD4558_1,57927.09631876653,138.38555555555556,1,11 6 4 5 0 7 17 18 19,0,58510.645500093786,7,58939.87715069217,429.2316505983863,pms,111.50000871175824
383,ADD4558_1,57927.09631876653,138.38555555555556,1,11 6 4 5 0 7 17 18 19,7,58939.87715069217,17,59014.260756032985,74.38360534081237,normal,0.0
383,ADD4558_1,57927.09631876653,138.38555555555556,1,11 6 4 5 0 7 17 18 19,17,59014.260756032985,18,59106.665328526724,92.40457249373696,normal,0.0
383,ADD4558_1,57927.09631876653,138.38555555555556,1,11 6 4 5 0 7 17 18 19,18,59106.665328526724,19,59203.54135220033,96.87602367360344,normal,0.0
384,ADD9911_1,42875.21053629956,183.65666666666667,2,12 13 14 20 19,12,42780.21053629956,13,43019.2978437049,239.08730740534165,normal,0.0
384,ADD9911_1,42875.21053629956,183.65666666666667,2,12 13 14 20 19,13,43019.2978437049,14,43182.681917604954,163.38407390005256,normal,0.0
384,ADD9911_1,42875.21053629956,183.65666666666667,2,12 13 14 20 19,14,43182.681917604954,20,43292.56185580768,109.87993820272973,normal,0.0
384,ADD9911_1,42875.21053629956,183.65666666666667,2,12 13 14 20 19,20,43292.56185580768,19,43360.21893063174,67.65707482405297,normal,0.0
385,HU7713_342213ed.csv_1,81008.71822264508,153.30444444444444,1,8 1 2 7 17 18 19,8,80833.71822264508,1,80938.27841451234,104.56019186725683,normal,0.0
385,HU7713_342213ed.csv_1,81008.71822264508,153.30444444444444,1,8 1 2 7 17 18 19,1,80938.27841451234,2,81228.9507392653,290.6723247529532,normal,0.0
385,HU7713_342213ed.csv_1,81008.71822264508,153.30444444444444,1,8 1 2 7 17 18 19,2,81228.9507392653,7,81645.01989285038,416.0691535850817,pms,90.29597758917987
385,HU7713_342213ed.csv_1,81008.71822264508,153.30444444444444,1,8 1 2 7 17 18 19,7,81645.01989285038,17,81712.16482518823,67.14493233784741,normal,0.0
385,HU7713_342213ed.csv_1,81008.71822264508,153.30444444444444,1,8 1 2 7 17 18 19,17,81712.16482518823,18,81795.57700639902,83.4121812107894,normal,0.0
385,HU7713_342213ed.csv_1,81008.71822264508,153.30444444444444,1,8 1 2 7 17 18 19,18,81795.57700639902,19,81883.02549756748,87.44849116845411,normal,0.0
386,MU5335_34213d2e.csv_1,43831.68058479838,182.6277777777778,1,12 13 14 20 21,12,43771.68058479838,13,44012.11486294967,240.43427815128723,normal,0.0
386,MU5335_34213d2e.csv_1,43831.68058479838,182.6277777777778,1,12 13 14 20 21,13,44012.11486294967,14,44176.41941050549,164.3045475558275,normal,0.0
386,MU5335_34213d2e.csv_1,43831.68058479838,182.6277777777778,1,12 13 14 20 21,14,44176.41941050549,20,44286.91839061359,110.49898010809721,normal,0.0
386,MU5335_34213d2e.csv_1,43831.68058479838,182.6277777777778,1,12 13 14 20 21,20,44286.91839061359,21,44346.21160985965,59.29321924606396,normal,0.0
387,Y87530_341f8f78.csv,3801.2169496508623,156.90555555555557,1,8 1 2 7 17 18 19,8,3806.2169496508623,1,3908.37739940969,102.16044975882798,normal,0.0
387,Y87530_341f8f78.csv,3801.2169496508623,156.90555555555557,1,8 1 2 7 17 18 19,1,3908.37739940969,2,4192.378556053559,284.001156643869,normal,0.0
387,Y87530_341f8f78.csv,3801.2169496508623,156.90555555555557,1,8 1 2 7 17 18 19,2,4192.378556053559,7,4654.263092661694,461.8845366081346,pms,143.58812202853215
387,Y87530_341f8f78.csv,3801.2169496508623,156.90555555555557,1,8 1 2 7 17 18 19,7,4654.263092661694,17,4719.866993765558,65.60390110386402,normal,0.0
